utt000000	幫您轉接給 Rita 邱先生,他的分機是 1399。
utt000438	請問您要找哪一位?是 Amy 還是 Rita?
utt000439	幫您轉接給 Leo 曾先生,他的分機是 589。
utt000440	您撥的分機 597 忙線中,請稍後再撥。
utt000441	Kelly 的 Excel 報表 已經準備好,請到 1 樓領取。
utt000442	麻煩您撥打 0956-306-654 聯絡 Leo 廖業務,謝謝。
utt000443	不好意思,Tina 剛離開,請問要留言給謝先生嗎?
utt000444	謝謝您的來電,祝您有美好的一天,再見。
utt000445	幫您轉接給 Amy 郭小姐,請稍候。
utt000446	Linda 的 VPN 已經準備好,請到 8 樓領取。
utt000447	Jerry 謝副理 現在不在位子上,需要幫您留言嗎?
utt000448	您的快遞單號是 8997714562,預計明天送達。
utt000449	幫您轉接給 Leo 張工程師,他的分機是 334。
utt000450	請問您要找哪一位?是 Ivy 還是 Kevin?
utt000451	幫您轉接給 Jason 呂先生,他的分機是 526。
utt000452	麻煩您撥打 03-5940-3938 聯絡 Peter 江課長,謝謝。
utt000453	您好,研發部的 Charlie 廖課長 為您服務。
utt000454	請問您要找哪一位?是 Sophia 還是 Alex?
utt000455	我們已經把 Zoom 連結 寄到您的信箱,請查收。
utt000456	請問您要找哪一位?是 Tony 還是 Andy?
utt000457	請問您是要報修 QR Code 還是 CRM 系統?
utt000458	謝謝您的來電,祝您有美好的一天,再見。
utt000459	關於您的 ERP 系統 問題,我幫您轉到總務部。
utt000460	請問您是要報修 Teams 會議 還是 Server 主機?
utt000461	幫您轉接給 Frank 呂專員,請稍候。
utt000462	Sophia 目前正在開會,大約 34 分鐘後回來。
utt000463	Jack 目前正在開會,大約 19 分鐘後回來。
utt000464	您好,品保部的 Betty 洪助理 為您服務。
utt000465	您的VPN設定已完成,如有問題請撥分機 410。
utt000466	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000467	關於您的 Wi-Fi 問題,我幫您轉到研發部。
utt000468	不好意思,Steve 剛離開,請問要留言給郭顧問嗎?
utt000469	關於您的 Excel 報表 問題,我幫您轉到技術部。
utt000470	幫您轉接給 Nancy 張顧問,他的分機是 823。
utt000471	關於您的 Teams 會議 問題,我幫您轉到財務部。
utt000472	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt000473	您好,這裡是聯華實業,很高興為您服務。
utt000474	Henry 目前正在開會,大約 22 分鐘後回來。
utt000475	謝謝您的來電,祝您有美好的一天,再見。
utt000476	請問是 Nancy 先生嗎?洪先生要找您。
utt000477	謝謝您的來電,祝您有美好的一天,再見。
utt000478	您的快遞單號是 3360178462,預計明天送達。
utt000479	這是 聯華實業 的語音信箱,請在嗶聲後留言。
utt000480	我們已經把 USB 寄到您的信箱,請查收。
utt000481	Alex 目前正在開會,大約 10 分鐘後回來。
utt000482	您好,請問要預約 Victor 課長 的時間嗎?
utt000483	謝謝您的來電,祝您有美好的一天,再見。
utt000484	系統顯示您的 USB 帳號需要更新,請聯絡總務部。
utt000485	系統顯示您的 USB 帳號需要更新,請聯絡技術部。
utt000486	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000487	您好,這裡是宏達電子,很高興為您服務。
utt000488	麻煩您撥打 03-1305-1344 聯絡 Kelly 林組長,謝謝。
utt000489	您好,這裡是台灣精密,很高興為您服務。
utt000490	您的VPN設定已完成,如有問題請撥分機 927。
utt000491	請問您要找哪一位?是 Jack 還是 Jason?
utt000492	請問您的訂單編號是?方便提供一下嗎?編號是 574980。
utt000493	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000494	請問您要找哪一位?是 Jason 還是 Peter?
utt000495	不好意思,Steve 剛離開,請問要留言給曾小姐嗎?
utt000496	您的快遞單號是 4302241214,預計明天送達。
utt000497	Alex 黃副理 請您回電,電話是 03-6824-2370。
utt000498	幫您轉接給 Kevin 王經理,請稍候。
utt000499	您撥的分機 3004 忙線中,請稍後再撥。
utt000500	您好,這裡是鼎新資訊,很高興為您服務。
utt000501	您好,這裡是宏達電子,很高興為您服務。
utt000502	您好,客服部的 Wendy 吳組長 為您服務。
utt000503	您的Wi-Fi設定已完成,如有問題請撥分機 715。
utt000504	請問您的訂單編號是?方便提供一下嗎?編號是 286945。
utt000505	今天的會議改到下午 2 點,地點在 3 樓會議室。
utt000506	幫您轉接給 Brian 郭小姐,請稍候。
utt000507	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000508	不好意思,Sophia 剛離開,請問要留言給李組長嗎?
utt000509	您好,請問要預約 Daniel 小姐 的時間嗎?
utt000510	您好,這裡是佳世達,很高興為您服務。
utt000511	請問是 Tony 先生嗎?呂協理要找您。
utt000512	今天的會議改到下午 5 點,地點在 7 樓會議室。
utt000513	請問您要找哪一位?是 Tony 還是 Steve?
utt000514	幫您轉接給 Frank 吳小姐,請稍候。
utt000515	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000516	Kelly 蘇助理 現在不在位子上,需要幫您留言嗎?
utt000517	幫您轉接給 Steve 郭副理,他的分機是 812。
utt000518	今天的會議改到下午 5 點,地點在 5 樓會議室。
utt000519	您好,行銷部的 Amy 蘇課長 為您服務。
utt000520	請問是 Sam 先生嗎?許專員要找您。
utt000521	系統顯示您的 Teams 會議 帳號需要更新,請聯絡業務部。
utt000522	Alex 劉助理 請您回電,電話是 05-9164-7797。
utt000523	不好意思,Cindy 剛離開,請問要留言給許襄理嗎?
utt000524	您的API 介面設定已完成,如有問題請撥分機 812。
utt000525	這是 台灣精密 的語音信箱,請在嗶聲後留言。
utt000526	您的PDF 報價單設定已完成,如有問題請撥分機 436。
utt000527	我們已經把 email 寄到您的信箱,請查收。
utt000528	不好意思,Eric 剛離開,請問要留言給賴經理嗎?
utt000529	Sandra 的 PDF 報價單 已經準備好,請到 1 樓領取。
utt000530	不好意思,Brian 剛離開,請問要留言給莊顧問嗎?
utt000531	您好,客服部的 Cindy 陳顧問 為您服務。
utt000532	您好,客服部的 Alex 王先生 為您服務。
utt000533	您撥的分機 095 忙線中,請稍後再撥。
utt000534	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000535	我們已經把 VPN 寄到您的信箱,請查收。
utt000536	麻煩您撥打 06-8368-1179 聯絡 Peter 張主任,謝謝。
utt000537	幫您轉接給 Ivy 廖經理,他的分機是 332。
utt000538	關於您的 PDF 報價單 問題,我幫您轉到研發部。
utt000539	今天的會議改到下午 3 點,地點在 15 樓會議室。
utt000540	請問您是要報修 API 介面 還是 QR Code?
utt000541	不好意思,Brian 剛離開,請問要留言給洪課長嗎?
utt000542	您的快遞單號是 9731011756,預計明天送達。
utt000543	不好意思,Brian 剛離開,請問要留言給張顧問嗎?
utt000544	今天的會議改到下午 4 點,地點在 5 樓會議室。
utt000545	David 目前正在開會,大約 17 分鐘後回來。
utt000546	不好意思,Tina 剛離開,請問要留言給謝經理嗎?
utt000547	您的VPN設定已完成,如有問題請撥分機 223。
utt000548	系統顯示您的 SSD 硬碟 帳號需要更新,請聯絡總務部。
utt000549	今天的會議改到下午 4 點,地點在 12 樓會議室。
utt000550	請問您要找哪一位?是 Leo 還是 Jack?
utt000551	Kelly 楊組長 現在不在位子上,需要幫您留言嗎?
utt000552	我們已經把 Teams 會議 寄到您的信箱,請查收。
utt000553	關於您的 VPN 問題,我幫您轉到技術部。
utt000554	請問您要找哪一位?是 Victor 還是 Emily?
utt000555	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000556	請問您是要報修 VPN 還是 Excel 報表?
utt000557	請問您要找哪一位?是 Kelly 還是 Michael?
utt000558	請問您是要報修 QR Code 還是 Wi-Fi?
utt000559	麻煩您撥打 08-5424-4709 聯絡 Karen 葉主任,謝謝。
utt000560	幫您轉接給 Betty 許先生,請稍候。
utt000561	請問您的訂單編號是?方便提供一下嗎?編號是 137070。
utt000562	您好,請問要預約 Catherine 業務 的時間嗎?
utt000563	Andy 陳組長 請您回電,電話是 04-4567-2774。
utt000564	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt000565	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000566	請問您要找哪一位?是 Amy 還是 Cindy?
utt000567	Tina 目前正在開會,大約 5 分鐘後回來。
utt000568	David 目前正在開會,大約 27 分鐘後回來。
utt000569	Kevin 目前正在開會,大約 28 分鐘後回來。
utt000570	您的快遞單號是 1506057103,預計明天送達。
utt000571	這是 中華電信商辦 的語音信箱,請在嗶聲後留言。
utt000572	Tony 葉專員 現在不在位子上,需要幫您留言嗎?
utt000573	幫您轉接給 Steve 吳專員,他的分機是 908。
utt000574	Helen 邱課長 現在不在位子上,需要幫您留言嗎?
utt000575	請問您是要報修 Wi-Fi 還是 ERP 系統?
utt000576	請問您的訂單編號是?方便提供一下嗎?編號是 938432。
utt000577	Emily 呂協理 現在不在位子上,需要幫您留言嗎?
utt000578	Grace 目前正在開會,大約 18 分鐘後回來。
utt000579	您的快遞單號是 2621417960,預計明天送達。
utt000580	請問是 Andy 先生嗎?洪小姐要找您。
utt000581	我們已經把 VPN 寄到您的信箱,請查收。
utt000582	您好,總務部的 Kevin 鄭專員 為您服務。
utt000583	Oscar 目前正在開會,大約 29 分鐘後回來。
utt000584	不好意思,Rita 剛離開,請問要留言給楊業務嗎?
utt000585	Leo 李組長 現在不在位子上,需要幫您留言嗎?
utt000586	您的Excel 報表設定已完成,如有問題請撥分機 129。
utt000587	麻煩您撥打 0949-361-849 聯絡 Daniel 謝課長,謝謝。
utt000588	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000589	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000590	幫您轉接給 Jack 周工程師,請稍候。
utt000591	我們已經把 VPN 寄到您的信箱,請查收。
utt000592	Victor 的 Teams 會議 已經準備好,請到 1 樓領取。
utt000593	您好,品保部的 Alex 鄭小姐 為您服務。
utt000594	您好,這裡是凌華科技,很高興為您服務。
utt000595	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000596	關於您的 Excel 報表 問題,我幫您轉到人資部。
utt000597	您的快遞單號是 1945045411,預計明天送達。
utt000598	請問您要找哪一位?是 Steve 還是 Ivy?
utt000599	Tony 的 PDF 報價單 已經準備好,請到 7 樓領取。
utt000600	系統顯示您的 QR Code 帳號需要更新,請聯絡行銷部。
utt000601	幫您轉接給 Kevin 周組長,他的分機是 6444。
utt000602	我們已經把 Outlook 寄到您的信箱,請查收。
utt000603	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000604	您撥的分機 205 忙線中,請稍後再撥。
utt000605	Andy 劉助理 請您回電,電話是 0926-946-530。
utt000606	我們已經把 USB 寄到您的信箱,請查收。
utt000607	請問是 Sam 先生嗎?謝先生要找您。
utt000608	今天的會議改到下午 4 點,地點在 13 樓會議室。
utt000609	幫您轉接給 Betty 呂專員,請稍候。
utt000610	系統顯示您的 VPN 帳號需要更新,請聯絡行銷部。
utt000611	系統顯示您的 OTP 驗證碼 帳號需要更新,請聯絡客服部。
utt000612	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000613	Karen 的 Excel 報表 已經準備好,請到 3 樓領取。
utt000614	Jason 目前正在開會,大約 39 分鐘後回來。
utt000615	您的Excel 報表設定已完成,如有問題請撥分機 5397。
utt000616	幫您轉接給 Emily 陳經理,請稍候。
utt000617	謝謝您的來電,祝您有美好的一天,再見。
utt000618	今天的會議改到下午 5 點,地點在 17 樓會議室。
utt000619	Amy 陳協理 請您回電,電話是 0926-271-976。
utt000620	您好,這裡是華碩客服中心,很高興為您服務。
utt000621	您好,這裡是台灣精密,很高興為您服務。
utt000622	麻煩您撥打 0964-731-248 聯絡 Sandra 邱專員,謝謝。
utt000623	您好,客服部的 Kelly 邱協理 為您服務。
utt000624	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000625	您的快遞單號是 5953250190,預計明天送達。
utt000626	這是 鼎新資訊 的語音信箱,請在嗶聲後留言。
utt000627	幫您轉接給 Ivy 江小姐,請稍候。
utt000628	這是 凌華科技 的語音信箱,請在嗶聲後留言。
utt000629	我們已經把 CRM 系統 寄到您的信箱,請查收。
utt000630	請問您要找哪一位?是 Eric 還是 Helen?
utt000631	幫您轉接給 Charlie 莊小姐,他的分機是 792。
utt000632	幫您轉接給 Oscar 黃顧問,請稍候。
utt000633	請問您的訂單編號是?方便提供一下嗎?編號是 974894。
utt000634	請問您要找哪一位?是 Oscar 還是 Peter?
utt000635	您的SSD 硬碟設定已完成,如有問題請撥分機 252。
utt000636	幫您轉接給 Andy 賴襄理,請稍候。
utt000637	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000638	請問您要找哪一位?是 Helen 還是 Eric?
utt000639	幫您轉接給 Brian 呂課長,請稍候。
utt000640	您的快遞單號是 3535027792,預計明天送達。
utt000641	Ivy 目前正在開會,大約 10 分鐘後回來。
utt000642	您撥的分機 3129 忙線中,請稍後再撥。
utt000643	這是 華碩客服中心 的語音信箱,請在嗶聲後留言。
utt000644	幫您轉接給 Victor 蘇經理,請稍候。
utt000645	Brian 的 Zoom 連結 已經準備好,請到 3 樓領取。
utt000646	您好,請問要預約 Grace 經理 的時間嗎?
utt000647	請問是 Oscar 先生嗎?王主任要找您。
utt000648	我們已經把 Teams 會議 寄到您的信箱,請查收。
utt000649	請問是 Henry 先生嗎?邱工程師要找您。
utt000650	請問是 David 先生嗎?曾顧問要找您。
utt000651	我們已經把 API 介面 寄到您的信箱,請查收。
utt000652	您好,採購部的 Cindy 郭助理 為您服務。
utt000653	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000654	您的快遞單號是 8384520396,預計明天送達。
utt000655	關於您的 USB 問題,我幫您轉到技術部。
utt000656	幫您轉接給 Oscar 鄭襄理,請稍候。
utt000657	謝謝您的來電,祝您有美好的一天,再見。
utt000658	您好,研發部的 Jason 賴課長 為您服務。
utt000659	請問您的訂單編號是?方便提供一下嗎?編號是 979614。
utt000660	麻煩您撥打 0952-857-880 聯絡 Jason 陳小姐,謝謝。
utt000661	麻煩您撥打 06-6299-2888 聯絡 Oscar 廖副理,謝謝。
utt000662	您好,這裡是台灣精密,很高興為您服務。
utt000663	請問您要找哪一位?是 Karen 還是 Michael?
utt000664	請問您的訂單編號是?方便提供一下嗎?編號是 549285。
utt000665	早安,歡迎來電,請問有什麼可以為您服務的嗎?
utt000666	這是 宏達電子 的語音信箱,請在嗶聲後留言。
utt000667	系統顯示您的 API 介面 帳號需要更新,請聯絡行銷部。
utt000668	不好意思,Michael 剛離開,請問要留言給周主任嗎?
utt000669	麻煩您撥打 0989-531-166 聯絡 Kevin 黃經理,謝謝。
utt000670	幫您轉接給 Henry 莊助理,他的分機是 444。
utt000671	我們已經把 Wi-Fi 寄到您的信箱,請查收。
utt000672	請問您的訂單編號是?方便提供一下嗎?編號是 206912。
utt000673	請問您的訂單編號是?方便提供一下嗎?編號是 611771。
